teamId,teamName,institution,site,isWomenOnly
1035639,Soup,Indian Institute of Technology - Madras,Kollam,false
1026890,IPCC,Indian Institute of Technology - Patna,Kollam,false
1025427,meow,Indian Institute of Technology - Patna,Kollam,false
1035378,Do chai ek coffee,Indian Institute of Technology - Patna,Kollam,false
1022175,bytemASKers,Indian Institute of Technology - Roorkee,Kollam,false
1022385,ThreeStacks,Indian Institute of Technology - Ropar,Kollam,false
1022308,Equinox,Indian Institute of Technology - Ropar,Kollam,false
1017627,Cheetah,Indian Institute of Technology - Ropar,Kollam,false
1025796,poocha kya,Indian Institute of Technology - Varanasi,Kollam,false
1024412,Tree-mendous Coders,Indian Institute of Technology - Varanasi,Kollam,false
1023300,ISeePSee,"Indian Institute of Technology (ISM), Dhanbad",Kollam,false
1023296,"Nah, We'd Win","Indian Institute of Technology (ISM), Dhanbad",Kollam,false
1033027,maniACs,Indian Institute of Technology Gandhinagar,Kollam,false
1025182,way2AC,Indian Institute of Technology Gandhinagar,Kollam,false
1026878,NUKE,Indian Institute of Technology Goa,Kollam,false
1020987,Oh Log N,Indian Institute Of Technology Jodhpur,Kollam,false
1022014,CrystaLMatH,Indian Institute Of Technology Jodhpur,Kollam,false
1021966,Bug Busters,Indian Institute Of Technology Jodhpur,Kollam,false
1032813,The Champ and the Sidekicks,Indraprastha Institute of Information Technology Delhi,Kollam,false
1025859,Array of hope,Indraprastha Institute of Information Technology Delhi,Kollam,false
1024233,Alien X,"Institute of Engineering & Technology, Lucknow",Kollam,false
1020793,whitepilled again,International Institute of Information Technology - Bangalore,Kollam,false
1020799,assert(rand()),International Institute of Information Technology - Bangalore,Kollam,false
1020812,Zhakaas,International Institute of Information Technology - Bangalore,Kollam,false
1007915,Retired_Retards,International Institute of Information Technology - Naya Raipur,Kollam,false
1028453,SubtasksWhere,"International Institute of Information Technology, Hyderabad",Kollam,false
1025026,LockedIn,"International Institute of Information Technology, Hyderabad",Kollam,false
1025731,NamePending,"International Institute of Information Technology, Hyderabad",Kollam,false
1016649,takeabyte,"Jadavpur University, Kolkata",Kollam,false
1022473,Damodar,Jawaharlal Nehru University,Kollam,false
1026815,BLWs,Jaypee Institute of Information Technology,Kollam,false
1023564,C0deBreakers,JSS Academy of Technical Education Noida,Kollam,false
1030654,5 candidate guardians,Keshav Memorial Institute of Technology,Kollam,false
1013972,Bitstorm,L. D. College of Engineering,Kollam,false
1023054,TRIEfecta,M.S. Ramaiah Institute of Technology,Kollam,false
1033409,BitByeBit,M.S. Ramaiah Institute of Technology,Kollam,false
1022698,Winwin03,Malviya National Institute of Technology Jaipur,Kollam,false
1028182,69/70TestCasesPassed,"Manipal Institute of Technology, Manipal",Kollam,false
1033722,Mavericks45,"MIT Academy of Engineering, Alandi",Kollam,false
1022740,SegmentThree,Motilal Nehru National Institute of Technology - Allahabad,Kollam,false
1021045,1e9_plus_7,National Institute of Technology - Agartala,Kollam,false
1027295,8aByte,"National Institute of Technology Karnataka, Surathkul",Kollam,false
1022908,Bipartite Boys,"National Institute of Technology Karnataka, Surathkul",Kollam,false
1019215,Dynamights,National Institute of Technology Patna,Kollam,false
1018488,Cheta3Tea,NATIONAL INSTITUTE OF TECHNOLOGY TIRUCHIRAPPALLI,Kollam,false
1025927,echo CP,NATIONAL INSTITUTE OF TECHNOLOGY TIRUCHIRAPPALLI,Kollam,false
1031622,Debugging ducks,"National Institute of Technology, Calicut",Kollam,false
1031777,Triple_S,"National Institute of Technology, Durgapur",Kollam,false
1019985,Tripod,"National Institute of Technology, Jamshedpur",Kollam,false
1019387,The Forkers,"National Institute of Technology, Raipur",Kollam,false
1017579,ICPCmaxxing,"National Institute of Technology, Silchar",Kollam,false
1031653,Sudo Delete Bios,"National Institute of Technology, Warangal",Kollam,false
1031855,op-team-ized,Netaji Subhash University Of Technology,Kollam,false
1024901,Primary_key,Netaji Subhash University Of Technology,Kollam,false
1024202,Phantom_Beasts,Nirma University,Kollam,false
1022761,PersistentTriersUnofficial2.0,Nirma University,Kollam,false
1023143,Binary Coders,"P.E.S. College of Engineering, Mandya",Kollam,false
1018458,TreepyTreaps,Pandit Deendayal Energy University,Kollam,false
1025602,CODEGEEKS,"PDPM Indian Institute of Information Technology Design & Manufacturing, Jabalpur",Kollam,false
1010859,AuraBits,PSG Institute of Technology and Applied Research,Kollam,false
1027949,HardStuckBlues,Pune Institute of Computer Technology,Kollam,false
1021733,RGUKT-B,"Rajiv Gandhi University of Knowledge Technologies, Basar",Kollam,false
1020872,Hetro Sapiens,Rishihood University,Kollam,false
1031026,System Reboot,RNS Institute of Technology,Kollam,false
1024657,The Windblown,Sardar Patel Institute of Technology,Kollam,false
1024701,Haigure Haigure,Scaler School of Technology,Kollam,false
1027081,AlgoARP,Shiv Nadar University Chennai,Kollam,false
1019924,Three,Techno Main Salt Lake (formerly known as Techno India Salt Lake),Kollam,false
1013214,Segmentation Assault,Thadomal Shahani Engineering College,Kollam,false
1032848,Code Alchemy,Thapar Institute of Engineering & Technology,Kollam,false
1021532,MonkeBrains,The LNM Institute of Information Technology,Kollam,false
1020816,Logic Builders,"University of Engineering & Management, Kolkata",Kollam,false
1021257,Null Ptrs,Veermata Jijabai Technological Institute,Kollam,false
1022651,Ternary,Vellore Institute of Technology,Kollam,false
1022151,TLE_gives_tears,"Vellore Institute of Technology, Chennai",Kollam,false
1022159,BoaConstructors,"Vellore Institute of Technology, Chennai",Kollam,false
1030656,bug_bounty,"Vellore Institute of Technology, Chennai",Kollam,false
1030030,Nip Pulse,Vishwakarma Institute of Technology,Kollam,false
1021609,Team 07,"Visvesvaraya National Institute of Technology, Nagpur",Kollam,false
1024411,Koders Klub,"Walchand College of Engineering, Sangli",Kollam,false
1029485,mas00m pupils,"YMCA University of Science and Technology, Faridabad",Kollam,false
1025525,is_it_so?,MANAV RACHNA UNIVERSITY,Kollam,false
1021459,I_C_Pookiesss,Marathwada Mitra Mandal's College of Engineering,Kollam,false
1017513,Code Chicks,Anil Neerukonda Institute of Technology and Sciences,Kollam,true
1028681,O(R^2*T),Indian Institute of Technology - Guwahati,Kollam,true
1031644,byte_sized_dreamers,Indian Institute of Technology - Roorkee,Kollam,true
1035995,random(3),Indian Institute of Technology - Ropar,Kollam,true
1028322,Placeholder,Indian Institute of Technology - Varanasi,Kollam,true
1032146,Auditpass,Indira Gandhi Delhi Technical University for Women,Kollam,true
1030795,gotta_WA_em_all,International Institute of Information Technology - Naya Raipur,Kollam,true
1032792,CodingQueen,National Institute of Technology Hamirpur,Kollam,true
1032910,Tapu_Sena,"National Institute of Technology, Silchar",Kollam,true
1035794,Blaze,Rajkiya Engineering College Mainpuri,Kollam,true
