,,ICPC Selected Teams for Amritapuri Regionals 2024
,,
Team ID,TeamName,Institution
1008697,Wrong Angled Triangle,VNR Vignana Jyothi Institute of Engineering & Technology
1012220,Lazy Coders,"Walchand College of Engineering, Sangli"
1024411,Koders Klub,"Walchand College of Engineering, Sangli"
1019138,Ymca_bhediyas,"YMCA University of Science and Technology, Faridabad"
1029485,mas00m pupils,"YMCA University of Science and Technology, Faridabad"
,,
,,
,,ICPC Selected Teams for Amritapuri Regionals 2024 (Women Only)
,,
Team ID,TeamName,Institution
1017513,Code Chicks,Anil Neerukonda Institute of Technology and Sciences
1028681,O(R^2*T),Indian Institute of Technology - Guwahati
1031644,byte_sized_dreamers,Indian Institute of Technology - Roorkee
1035995,random(3),Indian Institute of Technology - Ropar
1028322,Placeholder,Indian Institute of Technology - Varanasi
1032146,Auditpass,Indira Gandhi Delhi Technical University for Women
1030795,gotta_WA_em_all,International Institute of Information Technology - Naya Raipur
1032792,CodingQueen,National Institute of Technology Hamirpur
1032910,Tapu_Sena,"National Institute of Technology, Silchar"
1035794,Blaze,Rajkiya Engineering College Mainpuri
,,
,,
"Disclaimer: This team list is provisional and subject to change. As we continue to check for plagiarism, teams found guilty of plagiarism will be removed, while those cleared may be reinstated.",,
